,Description,Level,Type,Function,Industry
0,"(Junior) IT Administrator (w/m/d) gesucht - Wir suchen für unseren Kunden, ein Unternehmen aus dem Lebensmittelfachhandel mit Sitz im Großraum München, zum nächstmöglichen Zeitpunkt einen (Junior) IT Administrator (w/m/d).

Der Einstieg erfolgt im Rahmen der Arbeitnehmerüberlassung, dabei erhalten Sie einen unbefristeten Arbeitsvertrag von Robert Half. Die Betreuung und Vermittlung sowie alle unsere weiteren Serviceleistungen sind für Sie als Bewerber kostenfrei. Darüber hinaus profitieren Sie von allen Benefits bei Robert Half.

Sie haben die Möglichkeit in der Position (teilweise) vom Home-Office aus zu arbeiten.

Robert Half ist seit über 50 Jahren weltweit an über 300 Standorten erfolgreich im Anbieten von individuellen Personaldienstleistungen. Experten bei Robert Half vermitteln Sie aus Leidenschaft und mit spezifischem Fachwissen für die Bereiche Finanz- und Rechnungswesen, IT, Legal und im kaufmännischen Bereich. Dabei steht das menschliche Miteinander für uns an erster Stelle. Professionalität, Ehrlichkeit, Integrität und Diversity sind die Basis unseres Denkens und Handelns.

Wir empfehlen Sie an unsere Kunden weiter und erleichtern Ihnen damit den Berufs-, Quer- und Wiedereinstieg ins Unternehmen, wo Sie Erfahrungen sammeln können und somit Ihren eigenen „Marktwert"" erhöhen.

Ihre Aufgaben als (Junior) IT Administrator (w/m/d)


Problembehebung im 1st- und 2nd Level (Troubleshooting), Lösen von Problemen im 3rd Level bzw. Eskalation von Incidents an den 3rd Level Support
Pflege der IT-Technik, Kundenbetreuung im Microsoft Umfeld sowie Unterstützung des Anwendersupports und der Administration des Clientbetriebssystems
Active Directory (Anwendungsberechtigungen, Anlage von Usern uvm.)
Einrichtung, Installation und Konfiguration von Hardware- und Software
Mithilfe in der Installation und Administration von Servern, Netzwerkkomponenten
Betreuung von Microsoft Windows Betriebssystemen (Windows Clients, aktuelle Windows-Server uvm.), von MS Office 365, Virtualisierungsumgebungen, Storagesystemen und Firewalls
Mitarbeit im Team in den Bereichen Softwareverteilung mit SCCM, Backuperstellung und Datensicherung sowie in der Konfiguration, Administration und Wartung von MS Exchange Servern


Ihr Profil


Abgeschlossene Berufsausbildung in der IT, IT-Studium oder Quereinsteiger (w/m/d) mit nachweisbarer Berufserfahrung
Erste Arbeitserfahrung im IT-Betrieb, im IT-Support und in der IT-Infrastruktur
Sehr gute Kenntnisse im Windows-Umfeld (Active Directory, Office 365, Problemlösung) sowie mit Hard- und Software
Gute Kenntnisse in der Administration von Windows-Serversystemen und von Netzwerken
Kenntnisse im Monitoring, erste Erfahrung im Cloud-Umfeld (z.B. Azure, Office 365, MS Intune) sowie Grundkenntnisse in Linux wünschenswert
Analytisches Denkvermögen, zielgerichtete, lösungsorientierte Arbeitsweise, Teamfähigkeit
Sehr gute Deutschkenntnisse in Wort und Schrift, Englischkenntnisse von Vorteil
Führerschein Klasse B wünschenswert


Vorteile bei Robert Half


Kostenlose, schnelle und bedarfsgerechte Vermittlung (zu Ihrem Traumjob)
Einen unbefristeten Arbeitsvertrag
Gleiche Rechte und Pflichten wie die Kollegen der Kundenunternehmen
Attraktive Sozialleistungen
Einarbeitung und Weiterbildungen durch Kundenunternehmen
Kontakt und Vernetzung mit den interessanten Unternehmen


Haben wir Ihr Interesse geweckt?

Dann bewerben Sie sich online als (Junior) IT Administrator (w/m/d) unter Angabe der Referenznummer 06640-0012662435 - Ihr Lebenslauf genügt. Bei Fragen steht Ihnen Dr. Adrieanna Obermeier von Robert Half gerne zur Verfügung.

Die Robert Half Deutschland GmbH & Co. KG verarbeitet die Daten von Bewerbern, die zur Durchführung des Bewerbungsverfahrens erforderlich sind. Weitere Informationen zum Datenschutz, insbesondere zu Ihren Rechten, finden Sie unter",Berufseinstieg,Vollzeit,IT,Personalberatung und -vermittlung
1,"Ingenieurbüro Nordhorn GmbH & Co. KG




Wir sind ein überregional tätiges Ingenieurbüro der technischen Gebäudeausrüstung mit derzeit über 80 Mitarbeiter/innen und Niederlassungen in Münster, Berlin, Hamburg und München. Wir sind stetig auf der Suche nach neuen Talenten und etablierten Profis, die unser Team bei ihren anspruchsvollen Projekten bereichern.




Aktuell suchen wir für den Standort Münster Verstärkung als




IT-SYSTEMADMINISTRATOR (M/W/D)




IHR AUFGABENBEREICH




Anwendung von Virtualisierung- und Speicherplattformen wie Vmware vSphere Cluster / Horizon / vSAN
Administration und Wartung der Microsoft Windows Server-Clients Umgebung
Anwendung von Betriebssystemen wie Ubuntu und Debian Linux Systeme
Sicherstellung von Datenschutz und Datensicherheit inklusive Virenschutz
Sicherstellung eines effektiven IT-Monitoring mit Checkmk
Betreuung von Cloud Infrastrukturen mit dem Fokus auf MS Azure Administration /Hybrid Cloud / Microsoft 365
Analyse, Lösungsfindung und Dokumentation von Hard- und Softwareproblemen




QUALIFIKATIONEN - WAS SIE MITBRINGEN




Abgeschlossenes IT-Studium, eine Berufsausbildung zum Fachinformatiker Systemintegration oder eine vergleichbare Qualifikation
Mind. 3 Jahre Berufserfahrung im Bereich IT-Administration, Support
Gute Kenntnisse in Cisco Netzwerken und Windows Betriebssystemen sowie erste Projekterfahrungen mit Netzwerk- Systeminfrastrukturen
Analytisches Denkvermögen sowie selbstständige und zielorientierte Arbeitsweise mit der Aufgabe den IT-Bereich stetig weiterzuentwickeln
Teamfähigkeit, Zuverlässigkeit sowie Hands-on-Mentalität
Fließende Deutschkenntnisse in Wort und Schrift




WAS WIR IHNEN BIETEN




Sicherheit: Eine attraktive Vergütung ist für uns selbstverständlich als Anerkennung für Ihre Arbeit.
Familie: Wir integrieren Sie nicht nur als volles Teammitglied, wir fördern auch Ihr Familienleben. Als zertifiziertes Unternehmen setzen wir eine familienbewusste Personalstrategie nachhaltig um.
Gesundheit: Wir fördern das Wohlbefinden unserer Mitarbeiter durch eine Mitgliedschaft im Urban Sports Club, frisches Obst und Getränke sowie die Möglichkeit ein JobRad zu leasen.
Fortbildungen: Unsere Mitarbeiter werden u.a. regelmäßig geschult, um anspruchsvolle Projekte mit BIM (Building Information Modeling) umzusetzen und sich fachlich und persönlich weiterzuentwickeln.
Teamwork: Das Können jedes Einzelnen und die enge Verzahnung der unterschiedlichen Fachbereiche ist unser Erfolgsversprechen an unsere Kunden.




Was jetzt noch fehlt? Ihre Bewerbung!




Bitte senden Sie uns Ihre vollständigen Bewerbungsunterlagen über unser Onlineportal.




Wir freuen uns auf Sie!




Jetzt bewerben [ https://bewerbung.maxime-media.de/unternehmen/ingenieurbuero-nordhorn-gmbh-co-kg-2417/job/11505 ]",Berufseinstieg,Vollzeit,IT,Baugewerbe
2,"Sie suchen einen Arbeitgeber, der Ihre Expertise optimal einsetzt? Dabei wollen Sie sich weiterentwickeln und lernen? Hierfür suchen Sie Unterstützung im Bewerbungsprozess und bei Ihrer Karriereplanung? Dann suchen wir Sie! Kompetent, persönlich und initiativ - das ist die top itservices AG: Als einer der führenden Personaldienstleister für IT und Engineering bringen wir top Fach- und Führungskräfte sowie Spezialisten zum passenden Unternehmen. Für Festanstellungen, auf Zeit oder für Projekte. Dabei bieten wir einen ganzheitlichen Experten-Service. Wir nehmen uns Zeit, Sie kennenzulernen und coachen und navigieren Sie auf Wunsch durch Ihren beruflichen Weg.




Nehmen Sie die Herausforderung an und besetzen Sie zusammen mit uns eine vakante Position bei unserem Kunden als System Engineer Cloud (m/w/d).




Ihre Aufgaben




Optimierung und Entwicklung der Cloud-Infrastruktur sowie die Anbindung von Applikationen an die Cloud-Infrastruktur
Automatisierung von Prozessen durch Scripting
Wartung und Support der Cloud-Infrastruktur
Konfiguration und Erweiterung der Cloud-Umgebung mit Tools wie AWS CloudFormation, MS Azure Automation, Terraform oder vergleichbaren Tools




Ihr Profil




Abgeschlossenes Studium mit Schwerpunkt Computerwissenschaften oder eine vergleichbare Qualifikation
Mehrjährige Berufserfahrung im Cloud-Umfeld mit MS Azure, AWS und / oder Google Cloud, als Entwickler, System Engineer oder Administrator
Know-how in Cloud Automation und in DevOps-Tools wie Terraform, Kubernetes, Docker oder Ansible sowie in Script- und Programmiersprachen
Idealerweise Zertifizierungen oder Weiterbildungen im Bereich Cloud-Computing
Verhandlungssichere Deutsch- und gute Englischkenntnisse in Wort und Schrift




Was wir Ihnen bieten




Transparenter und schneller Bewerbungsprozess mit einer verbindlichen Rückmeldung binnen 14 Tagen
Vertrauensvolle & persönliche Begleitung zu jeder Zeit – Partnerschaftlichkeit ist die Basis unserer Zusammenarbeit
Vernetzung mit interessanten und renommierten Unternehmen
Ortsungebunden und flexibel durch die Möglichkeit Remote zu arbeiten




Bewerben




Erkennen Sie sich wieder? Dann senden Sie Ihre Unterlagen unter Angabe der Kennziffer 492-9880 an job-22@top-itservices.com . Erste Informationswünsche und Fragen beantwortet Ihnen Anastasia Jordan gern telefonisch unter +49 89 95468-178. Wir freuen uns bald von Ihnen zu hören!




Bewerben Sie sich direkt unter https://www.top-itservices.com/te7c7c




Weitere interessante Stellenangebote finden Sie auch auf unserer Homepage: https://www.top-itservices.com/annoncen




Erfolgt im Text zugunsten einer besseren Lesbarkeit keine explizite Differenzierung zwischen der weiblichen, männlichen und weiteren Formen, so sind dennoch stets alle gemeint.",Berufseinstieg,Vollzeit,IT,Personalberatung und -vermittlung
3,"Über NetPlans GmbH




Wir zählen bundesweit zu einem der führenden Anbieter für die Planung, Implementierung und Betreuung von IT-Infrastrukturen, Managed Services und Cloud Lösungen. Wir suchen zum nächstmöglichen Zeitpunkt Verstärkung für unser Jobangebot Junior System Engineer IT-Security - Firewall / WAF / Cloud Computing (m/w/d).




Klingt spannend? Dann freuen wir uns auf eine aussagekräftige Bewerbung über unseren Partner Workwise.




Was erwartet Sie?




Sie übernehmen Verantwortung für die IT-Security Lösungen unserer Kund:innen
Sie arbeiten im klassischen Projektgeschäft der Next Gen Firewall, E-Mail-, Cloud-, Endpoint Security sowie Security Analysen mit
Sie erhalten Kundenumgebungen aufrecht
Sie entwickeln bestehende sowie neue Security Lösung weiter




Was sollten Sie mitbringen?




Sie haben Ihr Hochschulstudium oder Ihre Ausbildung zum Fachinformatiker für Systemintegration (m/w/d) erfolgreich abgeschlossen
Sie verfügen über Praxiserfahrung in dem Bereich Firewall und Web Application Firewall
Sie kennen sich mit Cloud Security, Conditional Access, CASB und mit Endpoint Security inklusive der EDR Funktionalität aus
Sie arbeiten mit E-Mail-Verschlüsselung, E-Mail-Signierung und E-Mail Security mit On-Prem und Exchange Online
Sie haben mit den Produkten von Kaspersky, Fortinet, Sophos, Hornet Security, Microsoft oder ähnlichen vergleichbaren Produkten gearbeitet
Sie sind lösungsorientiert und bringen eine selbständige und eigenverantwortliche Arbeitsweise mit
Sie zeichnen sich durch eine ausgeprägte Kundenorientierung, Kommunikationsfähigkeit und Organisationsgeschick aus




Was bieten wir Ihnen?




Ein attraktives und leistungsbezogenes Gehaltsmodell
Einen unbefristeten Arbeitsvertrag
Umfassende Angebote zur Weiterbildung und individuelle Entwicklungsmöglichkeiten
Eine offene und vertrauensvolle Arbeitsatmosphäre
Flexible Arbeitszeiten für eine gute Vereinbarkeit von Arbeit und Freizeit
Regelmäßig stattfindende Personal- und Feedbackgespräche
Kurze Entscheidungswege
Eine strukturierte Einarbeitung
Eine betriebliche Altersvorsorge
Ein Job-Fahrrad




Unser Jobangebot Junior System Engineer IT-Security - Firewall / WAF / Cloud Computing (m/w/d) klingt vielversprechend? Dann freuen wir uns auf eine Bewerbung über Workwise.




Bei unserem Partner Workwise kann man sich in nur wenigen Minuten ohne Anschreiben für diesen Job bewerben und den Status der Bewerbung live verfolgen.",Berufseinstieg,Vollzeit,IT,Softwareentwicklung
4,"Als Public Cloud Group unterstützen wir mittelständische Unternehmen in ihrer IT und stellen diese auf moderne, sichere Füße. Dabei verfolgen wir einen einzigartigen Ansatz und setzen ausschließlich auf die Public Cloud.




Ein Konzept, das sich bewährt. Deshalb möchten wir unser Team fortlaufend durch weitere Spezialist:innen aus unterschiedlichen Cloud-Bereichen verstärken. Ob Hyperscaler-Expert:innen, Cloud Developer oder SAP-Profis – die PCG bietet diverse Möglichkeiten, dein Cloud-Wissen optimal einzubringen und auszubauen.




Mittlerweile sind wir mehr als 300 Kolleg:innen an 16 Standorten in der EU.




Wie es sich bei uns arbeitet, erfährst du auf unserer Karriereseite.




Für unser weiteres Wachstum suchen wir DICH als Cloud Solution Engineer (m/w/d) in Vollzeit.




Worum geht´s?




Als Cloud Solution Engineer (m/w/d) bist du zentraler Ansprechpartner für den Bereich Google Workspace. Du arbeitest direkt mit unseren Endkunden zusammen und nimmst Kundentermine wahr, in denen du die Migration und Integration von Google Workspace vorbereitest sowie später selbst oder im Team durchführst. Dazu zählen auch die Durchführung von Proof of Concepts, technische Kickoffs sowie Trainings für die IT-Administratoren des Kunden. Du leitest technisch das Projekt und arbeitest selbstständig mit den Teams des Kunden zusammen.




Dein Profil




Abgeschlossenes Studium mit IT Ausrichtung oder vergleichbare Berufsausbildung
Mindestens 2 Jahre Berufserfahrung in einem relevanten Arbeitsbereich
Erste Erfahrungen mit der Google Workspace Technologie und Architektur von Vorteil, aber kein Muss
Grundlegende Netzwerkkenntnisse
Kenntnisse im Windows Client- und Server-Umfeld sowie im Umgang mit Exchange und Active Directory
Hohe Lernbereitschaft
Eigenverantwortlicher Arbeitsstil sowie hohe Kunden- und Serviceorientierung
Sehr gute Deutsch- und Englischkenntnisse




Unser Angebot




Klare Karrierepfade und top Entwicklungsperspektiven innerhalb der Public Cloud Group
Flexibles Zeitmanagement an deutschlandweiten Standorten oder in deinem Home-Office
Moderner Techologie-Stack mit freier Konfiguration deines Equipments
Kontinuierliche Fortbildung in Schulungen und der Freiraum, neue Technologien zu testen
Exzellente Positionierung am Markt und starkes Unternehmenswachstum
Offene Kommunikation und kurze Entscheidungswege in einer Unternehmenskultur mit flachen Hierarchien
Vielfältiges Benefit-Programm mit bspw. Mobilitäts-Paket (BahnCard, Car Sharing), usw.
30 Tage Urlaub
Regelmäßige Teamevents
Kostenlose Getränke und Snacks
Schneller & unkomplizierter Bewerbungsprozess",Berufseinstieg,Vollzeit,Ingenieurwesen und IT,IT-Services und IT-Consulting
5,"Sei ein Teil unserer Mission




Du arbeitest in agilen Teams an der Entwicklung von Backend-Lösungen für unsere Kundenprojekte mit und übernimmst kleine, abgeschlossene Bereiche.
Du unterstützt das Backend-Team bei der Weiterentwicklung einer modernen Cloud-basierten Service-Plattform für mobile Applikationen.
Du bringst Dich in die Konzeption neuer Features und die Spezifikation von APIs, in enger Zusammenarbeit mit Deinen Teammitgliedern, ein.
Du wirkst am Qualitätssicherungsprozess mit und unterstützt unsere Kunden bei technischen Fragen.
Du bildest Dich regelmäßig weiter und bringst Deine Ideen und neuen Erkenntnisse ins Team ein.


Deine Talente, Erfahrungen und Persönlichkeit




Du hast ein erfolgreich abgeschlossenes Bachelor-Studium in Informatik oder eine vergleichbare Qualifikation. Ein Master-Abschluss ist ein Plus.
Du arbeitest strukturiert und selbstständig, erkennst und kommunizierst aber auch, wenn Du Unterstützung benötigst.
Du hast ein hervorragendes Abstraktionsvermögen und hinterfragst Dinge kritisch.
Du bist ein starker Teamplayer, sehr kommunikativ und kritikfähig.
Du besitzt eine schnelle Auffassungsgabe und bist motiviert, Dich kontinuierlich weiterzuentwickeln.
Du hast einen hohen Anspruch an Deine Arbeitsqualität.
Du verfügst über Grundkenntnisse der Softwaretechnik und kennst deren Prinzipien zur ingenieurmäßigen Softwareentwicklung. Erfahrung mit agilen Prozessen (Scrum) und testgetriebener Entwicklung sind ein Plus.
Du bist sicher im Umgang mit IDE, Kommandozeilen und Versionskontrollsystemen.
Du verfügst über solide Programmierkenntnisse in mindestens einer modernen Programmiersprache. Erfahrung mit Node.js und Typescript, sowie Cloud-Computing-Plattformen z.B. Google Cloud, Docker, Kubernetes & Co. sind ein Plus..
Du hast sehr gute Deutsch- und Englischkenntnisse.


Der apploft.-Spirit




Wir stehen für Erfolg.
Wir übernehmen Verantwortung.
Wir pflegen einen emphatischen, fairen und respektvollen Umgang.
Wir sind loyal gegenüber Team und Firma.
Wir bleiben hungrig.


Benefits




Spannende, mobile App-Projekte für namhafte Kunden wie bonprix, comdirect, LOTTO oder Gerolsteiner.
Ein erfahrenes Team - Mit diversen Möglichkeiten voneinander zu lernen, sich zu entfalten und Einfluss zu nehmen. WEITERENTWICKLUNG WIRD BEI UNS GROSS GESCHRIEBEN.
Flache Hierarchien und eine familiäre, offene Arbeitsatmosphäre.
Flexible Arbeitszeiten und die optimale Ausstattung für das Arbeiten im Home-Office.
Arbeit mit neuesten Technologien.
Regelmäßige interne Hackathons.
Bike-Leasing Option und Fitnessclub-Zuschuss.
Team-Events wie Sommerfest und Weihnachtsfeier.
Vierbeiner sind willkommen.


Bewirb Dich jetzt!




Du hast noch Fragen? Dann melde Dich gerne bei mir.




Wir haben Deine Neugier geweckt? Dann bewirb Dich jetzt!




THINK OUTSIDE THE BOX.




Lust mit uns die mobile Welt zu revolutionieren?




Wir zelebrieren Apps und suchen Menschen, die genauso begeistert davon sind, mit Leidenschaft Ideen zu entwickeln und Herausforderungen zu meistern. Wir lieben thinking outside the box und möchten immer über den Tellerrand hinausschauen. Du auch?",Berufseinstieg,Vollzeit,Ingenieurwesen und IT,Softwareentwicklung
6,"Für den Geschäftsbereich Cross-Industry von einem unserer Kunden suchen wir in ganz Deutschland:

AWS Infrastructure Engineer (w/m/d)

Deine Aufgaben

Du entwicklest und implementierst dynamisch skalierbare, hochverfügbare und sichere Cloud-Anwendungen in Kundenprojekten
Du identifizierst Potenziale zur Automatisierung und Optimierung von Prozessen und setzt diese mithilfe von Cloud Services um
Du stellst die Einsatzfähigkeit von Lösungen mithilfe von DevSecOps sicher
Du machst Coachings für das Projekt Team hinsichtlich der verwendeten Technologien und Best Practices und unterstützt die Umsetzung hands-on
Du birngst dich mit deinen Ideen aktiv in unsere Cloud Community ein, erarbeitet Standards für zukünftige Projekte und leistest einen maßgeblichen Beitrag zur Zielerreichung unserer Kunden und unseres Teams

Das Bringst Du Mit

Container: Docker, Kubernetes
IaC: Terraform, AWS Cloudformation
Hands-on Entwicklungserfahrung mit Linux/UNIX-basierten Umgebungen
Erfahrung mit Cloud Architecture Management und gutes Verständnis von Security-Themen
Verhandlungssicheres Deutsch und gutes Englisch in Wort und Schrift
Du hast Lust in einem jungen dynamischen Team zu arbeiten und gemeinsam mit unserem Team Kunden zu unterstützen. Denn Arbeit soll auch Spaß machen, zumindest bei uns.

Worum Es Geht

Das Unternehmen ist einer der führenden IT-Dienstleister im deutschsprachigen Raum. Mit rund 6.800 Mitarbeitenden unterstützt das Unternehmen Kunden aus verschiedenen Branchen bei der Digitalen Transformation. Die Kultur und das Zusammenarbeiten innerhalb von dem Unternehmen sind geprägt von gegenseitiger Wertschätzung, Anerkennung und Unterstützung.

Dafür Wird Ihnen Geboten

30 Tage Urlaub im Jahr
Mobiles Arbeiten und flexible Arbeitszeiten
Spannende abwechslungsreiche Projekte im Cloud-Umfeld mit unterschiedlichen Industrien
Verschiedene Aus- und Weiterbildungsmöglichkeiten
Ein technisches Community, das Wissensvermittlung und fachlichen Austausch fördert
Solides On-Boarding Programm bei deinem Start
Eine junge dynamische Teamkultur, moderner Führungsstil und Kommunikation auf Augenhöhe

Hiring Process

1st Gespräch mit dem Fachbereich - 2nd Gespräch mit dem Fachbereich - Angebot/Absage

Impressum - https://www.frankgroup.com/de/impressum/",Berufseinstieg,Vollzeit,IT,Personalberatung und -vermittlung
7,"FAIR

ERFAHREN
TRANSPARENT


Wir sind Experten für IT-Personal und kaufmännische Fachkräfte in der Arbeitnehmerüberlassung sowie im Dienst- und Werkvertrag. Unsere Kunden sind IT-Systemhäuser, IT-Hersteller und IT-Dienstleister.

Mit rund 3.000 Mitarbeitern an über 30 Standorten in Europa und den USA ist unser Kunde das drittgrößte deutsche IT-Systemhaus.

Für unseren Kunden suchen wir zum nächstmöglichen Zeitpunkt mehrere Mitarbeiter (m/w/d) für das Aufgabengebiet IT Service Engineer (m/w/d)

AUFGABEN

1st und 2nd Level Support in Hard- und Software sowie IMAC Service-Dienstleistungen
Betrieb von Client- und Serversystemen nach Kundenvorgaben
Telefonische Supportleistungen und Anwendereinweisung
Installation, Konfiguration und Test der Systeme in einem Netzwerkumfeld


KENNTNISSE

abgeschlossene Ausbildung zum Fachinformatiker oder IT System Elektroniker mit Berufserfahrung
Erfahrung in der Microsoft Active Directory Umgebung und Cloud Anwendungen wie z.B. Office 365
Erfahrungen im Support
Sehr gute Deutsch- und Englischkenntnisse
Kenntnisse in der gesamten Apple Produktpalette


LEISTUNGEN

Tarifgebundener Vertrag (iGZ/DGB)
Festes Monatsgehalt inklusive übertarifliche Bezahlung
Projektzulage ab dem ersten Einsatztag
Urlaubs- und Weihnachtsgeld nach iGZ
Persönliche Betreuung",Berufseinstieg,Vollzeit,IT,IT-Services und IT-Consulting
8,"Wir glauben, dass die Mobilität von morgen unsere Gesellschaft zum Positiven verändern wird, indem sie Menschen neue Möglichkeiten eröffnet und das Leben einfacher macht. Wir befähigen Automobile und Menschen in der ganzen Welt, sich sinnvoll mit ihrer Außenwelt zu verbinden. Gemeinsam mit unseren Kunden entwickeln wir eine große Bandbreite an innovativen Konnektivitäts-Lösungen. Ein klarer Auftrag vereint unser Team internationaler Experten über Unternehmensfunktionen hinaus, um heute daran zu arbeiten, was Menschen morgen bewegt.

All dies leisten wir für Volkswagen als der weltweit führende Anbieter nachhaltiger Mobilität.

Let's connect!

Als DevOps Engineer erwartet Dich ein interessantes und abwechslungsreiches Aufgabengebiet in verschiedensten Projekten. Als Teil eines agilen interdisziplinären Teams gestaltest Du den Ausbau der CI/CD Infrastruktur und Prozesse aktiv mit. Ziel ist es, dass Du zukünftig als Hauptansprechpartner für die agilen Entwicklungsteams im Bereich CI/CD fungieren wirst und maßgeblich an dem Erfolg der Generierung und Auslieferung unserer Software beteiligt bist.

Hast Du Spaß an der Veränderung und großes Interesse an innovativen Technologien und legst Du Wert auf ein hohes Maß an Qualität? Dann werde ein Teil unseres Teams und trage maßgeblich zur Umsetzung neuer sowie innovativer Funktionen bei. Flexibles Arbeiten ist für uns selbstverständlich. Deshalb freuen wir uns auf Deine Bewerbung für unseren Standort in Bochum.

Aufgaben

Entwicklung, Ausbau und Pflege der CI/CD Infrastruktur und Prozesse
Analyse und Ableitung von Anforderungen des Entwicklungsteams, hinsichtlich der technischen Umsetzung im CI/CD Bereich
Bündelung und Erstellung von Software-Paketen
Abstimmung und Zusammenarbeit mit den Verantwortlichen aus den agilen Teams

Zusätzlich Von Vorteil

Kenntnisse in der Automobilindustrie sind wünschenswert
Erfahrungen in agilen Software-Entwicklungsprozessen sind von Vorteil

Profil

Erfolgreich abgeschlossenes Studium im Bereich der Informatik, Elektronik, Mechatronik oder Berufserfahrung in der Softwareentwicklung
Tiefgreifende Kenntnisse im Bereich CI/CD
Fundiertes Wissen in GIT, Cloud-Computing Plattformen und Docker
Begriffe wie MS Azure, CMake, PowerShell, Python und .NET sind keine Fremdwörter
Aufbereiten komplexer Sachverhalte und anschauliche, verständliche Vermittlung
Strukturierte, eigenständige und lösungsorientierte Arbeitsweise sowie Kommunikations- und Teamfähigkeit
Sehr gute Deutsch- und Englischkenntnisse

Wir bieten",Berufseinstieg,Vollzeit,Ingenieurwesen und IT,Eingebettete Softwareprodukte
9,"Aufgaben

Bei der Erstellung von cloudbasierten Applikationen sowie bei der Cloud-Migration führst Du die Kundenberatung durch.
Sichere, skalierbare sowie kosteneffiziente Cloud-Architekturen, die es unseren Kunden ermöglichen ihr Geschäftsmodell weiterzuentwickeln, werden von Dir erarbeitet.
Bei dem Umgang mit der internen Nutzerakzeptanz, der Planung technischer Ressourcen sowie der Personalauswahl stehst Du unseren Kunden beratend zur Seite.
Du unterstützt bei der Formulierung spezifischer Kriterien für Cloud-Anbieter, der Entwicklung von Qualitätskriterien und der Vorbereitung von Verhandlungen sowie Vertragsabschlüssen.
Sowohl das Mentoring unserer Kunden bei der Einrichtung von Sicherheitsmaßnahmen, als auch das kontinuierliche Updaten des IT-Security-Wissens sowie der Schutz von den Daten unserer Kunden und Unternehmen sind für Dich selbstverständlich.


Qualifikation

Egal ob Du erst beim Aufbau der Grundkenntnisse bist oder schon Expertenwissen vorweisen kannst. Wenn bei der folgenden Aufzählung Dein Herz höher schlägt, dann bist Du genau richtig bei uns:

Software- und/oder Infrastruktur-Architekturen
Public und Private Cloud-Technologien (OpenStack, AWS, Azure, GCP, VMware)
Container-Technologien (Docker, Kubernetes, OpenShift, ODK, Cloud Foundry)
Storage-Technologien (Ceph, Rook, Velero)
Netzwerk-Technologien (Contrail/Tungsten Fabric, Calico, Cilium)
Automation (SaltStack, Ansible, Terraform) und CI/CD (GitLab CI, Jenkins, Drone CI)


Dabei denkst Du Dich gerne in komplexe IT Prozesse und scheust Dich nicht vor technischen Herausforderungen. In einem Team mit fundierter Berufserfahrung fühlst Du Dich wohl und konstruktive fachliche Diskussionen motivieren Dich in Deiner alltäglichen Arbeit. Zudem ist die verhandlungssichere Kommunikation sowohl in deutscher, als auch in englischer Sprache kein Problem für Dich.

Benefits

Seit unserer Gründung 2017 arbeiten wir zu 100% Remote. Denn bei uns stehst Du als Mensch im Mittelpunkt unabhängig von wo Du auch arbeitest.
Im Rahmen unserer Vertrauensarbeitszeit bestimmst Du, wann Du morgens in Deinen Arbeitstag startest.
Wir stellen Dir eine moderne Hardware-Ausstattung inklusive Zubehör zur Verfügung, weil wir wissen wie wichtig ein guter Arbeitsplatz für Dich ist.
Damit Dir der Einstieg bei uns so leicht wie möglich fällt, unterstützt Dich Dein persönlicher Mentor mit einem digitalen Onboarding-Plan in den ersten Monaten.
Bei uns hast Du die Möglichkeit Deine professionelle Karriere mit Aus- und Weiterbildungen sowie On the Job Coachings und Trainings weiterzuentwickeln.
Auch über unseren Mutterkonzern Allgeier SE bieten wir Dir Cooperate Benefits sowie Rabatte für namenhafte und hochwertige Produkte.",Berufseinstieg,Vollzeit,IT,IT-Services und IT-Consulting
