,Date,Company,Title,Location,Link
0,2023-04-01,C.F. Maier-Firmengruppe,Konstrukteur Additive Fertigung / 3D-Druck (m/w/d),Königsbronn,https://de.linkedin.com/jobs/view/konstrukteur-additive-fertigung-3d-druck-m-w-d-at-c-f-maier-firmengruppe-3580554060?refId=WcYuFnpdXDeHbymBF0khgg%3D%3D&trackingId=2JnPB8GjnCfie9Oe1xiRfg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,2023-05-03,YOU MAWO,Bürokaufmann/-frau (m/w/d),Konstanz,https://de.linkedin.com/jobs/view/b%C3%BCrokaufmann-frau-m-w-d-at-you-mawo-3594915632?refId=uGmbgAvJsh6o8l%2BxbVmz%2FQ%3D%3D&trackingId=D5FXuDZCIxYrfQTPRjc4og%3D%3D&position=23&pageNum=16&trk=public_jobs_jserp-result_search-card
2,2023-04-27,Tesla,Senior Architect and Integrated Planner (m/w/d) - Gigafactory Berlin-Brandenburg,Grünheide (Mark),https://de.linkedin.com/jobs/view/senior-architect-and-integrated-planner-m-w-d-gigafactory-berlin-brandenburg-at-tesla-3584684144?refId=%2FF9rOaAhMWv5J0wDiOEOnQ%3D%3D&trackingId=IEJCX5Jd6KbapE7V2JmrkA%3D%3D&position=24&pageNum=10&trk=public_jobs_jserp-result_search-card
3,2023-03-17,Donaldson Filtration Deutschland GmbH,Vertriebsingenieur für Laser- und 3D-Drucklösungen (m/w/d),Haan,https://de.linkedin.com/jobs/view/vertriebsingenieur-f%C3%BCr-laser-und-3d-druckl%C3%B6sungen-m-w-d-at-donaldson-filtration-deutschland-gmbh-3565930683?refId=kXI1PjNQ0rdHh8Iz9zTQVg%3D%3D&trackingId=uREhfNLAzbxsl4eEdQnFVw%3D%3D&position=19&pageNum=13&trk=public_jobs_jserp-result_search-card
4,2023-04-11,Rapid Shape GmbH,Werkstudent Marketing (m/w/d),Heimsheim,https://de.linkedin.com/jobs/view/werkstudent-marketing-m-w-d-at-rapid-shape-gmbh-3558170612?refId=SNCMIVsbknkNOixzzDKKKA%3D%3D&trackingId=Go9cgLrH64a%2BcjgDRI960g%3D%3D&position=1&pageNum=17&trk=public_jobs_jserp-result_search-card
5,2023-04-01,TRUMPF,Praktikum in der Applikationsentwicklung Additive Manufacturing (WS 23/24),Ditzingen,https://de.linkedin.com/jobs/view/praktikum-in-der-applikationsentwicklung-additive-manufacturing-ws-23-24-at-trumpf-3546408828?refId=iGTJkA1dOwH7%2BbehvJloAw%3D%3D&trackingId=rB29i85p6aaBbUSq87PBmA%3D%3D&position=19&pageNum=11&trk=public_jobs_jserp-result_search-card
6,2023-05-02,"Bertrandt AG, Sucursal en España",Konstrukteur Rapid Prototyping (m/w/d),Ehningen,https://de.linkedin.com/jobs/view/konstrukteur-rapid-prototyping-m-w-d-at-bertrandt-ag-sucursal-en-espa%C3%B1a-3590114078?refId=rU2kdgoR7UJ1SOtvRaTnKg%3D%3D&trackingId=p2%2FHT3J8qKvzNlxY6LSqCw%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card
7,2023-05-08,Siemens,Sales & Business Development Manager (w/m/d) 3D Druck Bahn,Erlangen,https://de.linkedin.com/jobs/view/sales-business-development-manager-w-m-d-3d-druck-bahn-at-siemens-3596880396?refId=At3kTRqxAB5fpwdYRZerKw%3D%3D&trackingId=bx2f3qX%2FIEXOQ%2FTMMjzuqg%3D%3D&position=21&pageNum=7&trk=public_jobs_jserp-result_search-card
8,2023-04-12,EOS,Qualitätsmanager (m/w/d) Lieferkette,Krailling,https://de.linkedin.com/jobs/view/qualit%C3%A4tsmanager-m-w-d-lieferkette-at-eos-3537584121?refId=uGmbgAvJsh6o8l%2BxbVmz%2FQ%3D%3D&trackingId=REfxU3UdpH8ElFNb6KNqyA%3D%3D&position=25&pageNum=16&trk=public_jobs_jserp-result_search-card
9,2023-04-02,Endress+Hauser Gruppe,Feinwerktechniker/in,Freiburg im Breisgau,https://de.linkedin.com/jobs/view/feinwerktechniker-in-at-endress%2Bhauser-gruppe-3588812318?refId=meYLFM1PgiIwa90U6KZThQ%3D%3D&trackingId=H8482%2Fsj40TZOGekvImj0Q%3D%3D&position=6&pageNum=15&trk=public_jobs_jserp-result_search-card
10,2023-04-01,Fraunhofer Karriere,WISSENSCHAFTLICHE*R MITARBEITER*IN - SOFTWARE ENGINEERING SENSORSYSTEME,Hamburg,https://de.linkedin.com/jobs/view/wissenschaftliche-r-mitarbeiter-in-software-engineering-sensorsysteme-at-fraunhofer-karriere-3587622648?refId=%2FF9rOaAhMWv5J0wDiOEOnQ%3D%3D&trackingId=KlwWG9oxqZfEI3tHxNnVyg%3D%3D&position=6&pageNum=10&trk=public_jobs_jserp-result_search-card
