,Date,Company,Title,Location,Link
0,2023-04-06,ArtiMinds Robotics,Softwareentwickler C++ (m/w/d) Robotik mit angewandter KI,Karlsruhe,https://de.linkedin.com/jobs/view/softwareentwickler-c%2B%2B-m-w-d-robotik-mit-angewandter-ki-at-artiminds-robotics-3559461605?refId=TXu3qRGDjHnrDo7cND6ngg%3D%3D&trackingId=wUxOHf0NRmTLAt%2FImxiHBg%3D%3D&position=19&pageNum=8&trk=public_jobs_jserp-result_search-card
1,2023-04-12,SYNERGIE Personal Deutschland GmbH,Mechatroniker (m/w/d),Ditzingen,https://de.linkedin.com/jobs/view/mechatroniker-m-w-d-at-synergie-personal-deutschland-gmbh-3567396589?refId=ccIiWxxHLIjpLY0cpC07fw%3D%3D&trackingId=ogjQy6u0hPncZleKa%2FsQuQ%3D%3D&position=20&pageNum=17&trk=public_jobs_jserp-result_search-card
2,2023-03-17,Bosch,Feldservicetechniker Robotics (w/m/div),Stuttgart,https://de.linkedin.com/jobs/view/feldservicetechniker-robotics-w-m-div-at-bosch-3558134530?refId=EpWdKHVt%2BfnTFCzqD594%2FA%3D%3D&trackingId=FlF%2FNWu9yUay9cDfHmHgZQ%3D%3D&position=8&pageNum=31&trk=public_jobs_jserp-result_search-card
3,2023-04-11,Security Robotics Development & Solutions GmbH,Softwareentwickler (w/m/d) / Bildverarbeitungssysteme / Machine learning,Leipzig,https://de.linkedin.com/jobs/view/softwareentwickler-w-m-d-bildverarbeitungssysteme-machine-learning-at-security-robotics-development-solutions-gmbh-3561994376?refId=WNAEy%2FfivCR4hn9Ox0sDSA%3D%3D&trackingId=3KkY5dOj1AvWIoqvm5L0DA%3D%3D&position=16&pageNum=29&trk=public_jobs_jserp-result_search-card
4,2023-04-16,Weissenberg Group,(Junior) Entwickler (m/w/d) - Robotic Process Automation (RPA),Düsseldorf,https://de.linkedin.com/jobs/view/junior-entwickler-m-w-d-robotic-process-automation-rpa-at-weissenberg-group-3569010425?refId=oCc1Cws5lW8cVjhIQiFp4A%3D%3D&trackingId=1SvwwXbKCNL6P3q18mDphQ%3D%3D&position=21&pageNum=1&trk=public_jobs_jserp-result_search-card
5,2023-02-05,idealworks,Robotics Simulation Engineer (m/f/d),München,https://de.linkedin.com/jobs/view/robotics-simulation-engineer-m-f-d-at-idealworks-3499730425?refId=gzSP%2FT9PcVF09lLlv1eaQw%3D%3D&trackingId=3r3iyY%2Ft%2BDkh0etQi5a74g%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
6,2023-04-19,Filics,Electrical Engineer - Robotics | Full time (f/m/x),München,https://de.linkedin.com/jobs/view/electrical-engineer-robotics-full-time-f-m-x-at-filics-3154972829?refId=TXu3qRGDjHnrDo7cND6ngg%3D%3D&trackingId=dGL2cfNMd%2FFSJNHQQn5lbA%3D%3D&position=18&pageNum=8&trk=public_jobs_jserp-result_search-card
7,2023-03-17,Bosch,Simulation Engineer Motorsport (f/m/div.) - partly remote,Stuttgart,https://de.linkedin.com/jobs/view/simulation-engineer-motorsport-f-m-div-partly-remote-at-bosch-3558133635?refId=gzSP%2FT9PcVF09lLlv1eaQw%3D%3D&trackingId=8wJaR%2FVnu%2FH%2F1Dtm8%2BsEaA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
8,2023-04-16,DORST Technologies GmbH & Co. KG,Bachelorarbeit / Masterarbeit im Bereich Maschinenbau / Elektrotechnik / Robotik und Automationstechnik,Kochel am See,https://de.linkedin.com/jobs/view/bachelorarbeit-masterarbeit-im-bereich-maschinenbau-elektrotechnik-robotik-und-automationstechnik-at-dorst-technologies-gmbh-co-kg-3568368140?refId=1r2g7HfJam55s%2FomgOOSEg%3D%3D&trackingId=qYw0oaco7RIKZJVlSvjfBw%3D%3D&position=13&pageNum=6&trk=public_jobs_jserp-result_search-card
9,2023-04-13,JOIN Solutions AG,Robotic Developer for BMW Startup (m|f|d),München,https://de.linkedin.com/jobs/view/robotic-developer-for-bmw-startup-m-f-d-at-join-solutions-ag-3563884892?refId=gzSP%2FT9PcVF09lLlv1eaQw%3D%3D&trackingId=kIFg1vuGvMi7YFIkQkaQDQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
10,2023-04-19,Exotec,"Robotics Maintenance Technician (Mannheim, BW)",Frankfurt,https://de.linkedin.com/jobs/view/robotics-maintenance-technician-mannheim-bw-at-exotec-3582307995?refId=aQC6VCc72o%2FOz%2Fz%2FqDsHeg%3D%3D&trackingId=Ncp%2B1z86Jk5IJ%2FfdEU%2BkGQ%3D%3D&position=12&pageNum=21&trk=public_jobs_jserp-result_search-card
11,2023-04-14,PerSolution Consulting,Mechatroniker / Elektroniker (m/w/d),Delitzsch,https://de.linkedin.com/jobs/view/mechatroniker-elektroniker-m-w-d-at-persolution-consulting-3567037449?refId=G8wZpylejQNSWQe3k63XCw%3D%3D&trackingId=Q9S3i5hNy%2F9ghH6j9VFPhw%3D%3D&position=6&pageNum=20&trk=public_jobs_jserp-result_search-card
12,2023-04-23,Cevotec,Ingenieur Automatisierungstechnik und SPS-Programmierung (m/w/x),Unterhaching,https://de.linkedin.com/jobs/view/ingenieur-automatisierungstechnik-und-sps-programmierung-m-w-x-at-cevotec-3578866012?refId=vVKTVDF%2BCN15YLydzYFUKw%3D%3D&trackingId=nuWm4cQGOYSyEZDZ9nRF%2Fg%3D%3D&position=16&pageNum=5&trk=public_jobs_jserp-result_search-card
13,2023-03-29,BMW Group,"Instandhalter, elektrisch - Karosseriebau (w/m/x)",München,https://de.linkedin.com/jobs/view/instandhalter-elektrisch-karosseriebau-w-m-x-at-bmw-group-3581287626?refId=hPgkrroV%2BGNm2nrTwAFcDw%3D%3D&trackingId=ldETVut2e7tftr%2BetFoZHQ%3D%3D&position=6&pageNum=10&trk=public_jobs_jserp-result_search-card
14,2023-04-21,VoltStorage,Design Engineer (gn) in Development/ Development Engineer (gn),München,https://de.linkedin.com/jobs/view/design-engineer-gn-in-development-development-engineer-gn-at-voltstorage-3575916168?refId=VwTw4Rede7NsCDRAM95LJA%3D%3D&trackingId=qyKISOl9MSET0Rmr2F1IHg%3D%3D&position=2&pageNum=4&trk=public_jobs_jserp-result_search-card
