,Description,Level,Type,Function,Industry
0,"Algorithmen, die im wörtlichen Sinne etwas bewegen – Industrieroboter, die dank Sensoren und intelligenter Software mehr sind als stumpfe, repetitive Maschinen – Roboterprogrammierung ganz ohne Kenntnis ihrer Programmiersprache – dazu datengetriebene Optimierung der Roboterbewegungen.

Klingt spannend? Ist es!

Software für die Robotik ist unsere Leidenschaft. Deshalb entwickeln wir Tools für roboterbasierte, sensorgestützte Automatisierung und lösen damit die spannenden industriellen Herausforderungen unserer Zeit. Als Technologieführer treiben wir die Programmierverfahren dahinter seit Jahren kontinuierlich voran. Unsere Software deckt den kompletten Stack von Regelungstechnik über IOT/Big Data bis zum Machine Learning ab. Gleichzeitig betreut unser engagiertes und dynamisches Team namhafte Kunden in rund 20 Ländern und aus über einem

Dutzend unterschiedlicher Industrien. Werde Teil von ArtiMinds Robotics und gestalte mit uns die Zukunft!

An unserem Standort in der Technologieregion Karlsruhe suchen wir aktuell Verstärkung für unser Automation Engineering Team, um für unsere Kunden mit unseren Softwareprodukten ganz neue Automatisierungskonzepte mit sensoradaptiven Industrierobotern zu entwickeln.

Deine Aufgaben

Du arbeitest an der Lösung vielfältiger Automatisierungsprobleme mittels modernster, sensorgeführter Industrierobotik und begleitest dabei den gesamten Erstellungszyklus
Du erstellst Konzepte und prototypische Realisierungen von herausfordernden Automatisierungsaufgaben unter Verwendung fortschrittlicher Komponenten (Industrieroboter, SPS, 2D- & 3D-Bildverarbeitungssysteme, Kraft-Momenten-Sensoren, ArtiMinds Software)
Du begleitest den gesamten Lifecycle:
Identifizierung des Automatisierungspotenzials in enger Zusammenarbeit mit unserem Vertriebs- und Softwareentwicklungsteam
Erarbeitung von Lösungs- und Optimierungskonzepten für unsere Kunden
Implementierung von Automatisierungslösungen zusammen mit Systemintegratoren
Du übernimmst die Konstruktion (CAD) und Organisation der Fertigung verschiedener mechanischer Komponenten
Du stellst die kontinuierliche Weiterentwicklung von Automatisierungsmethoden und den Ausbau des Automatisierungs-Know-hows im Team sicher

Das zeichnet Dich aus

Du hast ein abgeschlossenes Hochschulstudium der Fachrichtung Maschinenbau oder Mechatronik/ Automatisierungstechnik
Du bringst 2+ Jahre Berufserfahrung im Bereich Automatisierung, SPS-Programmierung und/oder Industrierobotik mit
Du hast Freude an der Arbeit mit Kunden und eine starke Kundenorientierung und gute Kundenkommunikation zählen zu Deinen Stärken
Du siehst ein analytisches und lösungsorientiertes Denken sowie eine selbstständige Arbeitsweise in Abstimmung mit dem Team als selbstverständlich an
Du beherrschst Deutsch oder Englisch verhandlungssicher
Du hast den großen Wunsch, mit Spitzentechnologie zu arbeiten
Du bringst eine Hands on Mentalität, strukturierte Arbeitsweise, pragmatisches Handeln und zielgerichtete Kommunikation mit

Das bieten Wir dir

Innovation: Mitarbeit in einem professionellen, hoch innovativen und dynamischen Unternehmen
ArtiMinds Kultur: Duz-Kultur und offener, aktiver Austausch mit flachen Hierarchien quer durch alle Firmenbereiche und Abteilungen sowie kurze Wege und schnelle Entwicklungszyklen
Weiterentwicklung: Aktive, individuelle Unterstützung Deiner Entwicklung
Flexibilität: Flexible Arbeitszeiten und Möglichkeiten für anteilige mobile Arbeit
Weitere Benefits: Moderne Räumlichkeiten ohne Großraumbüros, regelmäßige Team- und Sportevents, gratis Obst und Getränke

Klingt das interesant?

Dann sende uns einfach Deine vollständigen Bewerbungsunterlagen an personal@artiminds.com

Wir freuen uns auf Dich!

Weitere Informationen über uns findest Du auf www.artiminds.com",Berufseinstieg,Vollzeit,Ingenieurwesen und IT,Industrielle Automatisierung
1,"Montage von komplexen mechanischen, elektronischen und optischen Baugruppen nach Zeichnung
Inbetriebnahme von Elektrokomponenten
Komplettierung optischer Module und Systeme
Justage von Lasersystemen
Nachhaltige Fehlersuche im Produktionsprozess
Erfolgreich abgeschlossene technische Ausbildung im Bereich Mechatronik oder Elektrotechnik
Berufserfahrung
Zuverlässigkeit und Teamorientierung




Spricht Sie diese Stelle an? Dann freuen wir uns auf Ihre Bewerbung. Bei Rückfragen steht Ihnen sehr gerne Frau Saskia Dellinger unter den angegebenen Kontaktdaten zur Verfügung.




Wir sind ein fairer und seriöser Arbeitgeber mit langjähriger Erfahrung, arbeiten mit den Unternehmen aus der Region eng zusammen und kümmern uns um unsere Mitarbeiter.




Wir Bieten Ihnen




Eine vertrauensvolle Zusammenarbeit
Einen unbefristeten Arbeitsvertrag
Vielfältige und interessante Aufgabengebiete
Übertarifliche Leistungen sowie Urlaubs- und Weihnachtsgeld
Zahlreiche Vergünstigungen bei namhaften Anbietern über unser Mitarbeiterangebotsprogramm
Persönliche Betreuung durch Ihre Niederlassung
Option auf Übernahme im Einsatzunternehmen




Unser Kunde ist Markt- und Technologieführer für Werkzeugmaschinen. Freuen Sie sich auf ein zukunftsorientertes Umfeld mit innovativen Produkten.",Berufseinstieg,Vollzeit,Ingenieurwesen und IT,Personalberatung und -vermittlung
2,"Unternehmensbeschreibung




Unsere Antriebs- und Steuerungstechnologien bewegen Maschinen und Projekte jeder Größenordnung rund um die Welt. Wir begeistern unsere Kunden mit intelligenten Komponenten, maßgeschneiderten Systemlösungen und Dienstleistungen für vollständig vernetzbare Anwendungen bis hin zur Fabrik der Zukunft.




Wollen auch Sie mehr bewegen? Willkommen bei Bosch Rexroth.




Die Bosch Rexroth AG freut sich auf Ihre Bewerbung!




Stellenbeschreibung




Die Business Unit Assembly Technology bietet ein umfassendes Produktportfolio zur Realisierung wirtschaftlicher Fertigungssysteme. Von ergonomischen Handarbeitsplätzen hin zu hochautomatisierten Transfer- und Identifikationssystemen sowie durchdachter Verbindungstechnik profitiert der Kunde von unserer langjährigen Erfahrung. Der Service Montagetechnik bietet technische Unterstützung bzgl. Aufbau, Inbetriebnahme, Wartung, Instandsetzung, Umbau von Baueinheiten und Systemen.




Sie nehmen Bosch Rexroth Robotics-Systeme, wie z.B. unser AMR Produkt ACTIVE Shuttle, beim Kunden vor Ort in Betrieb und führen Firmware-Updates durch. Die Beseitigung von Störungen und Instandsetzung unserer Produkte vor Ort beim Kunden ist ein weiterer Aspekt Ihrer Tätigkeit. Darüber hinaus begutachten Sie die Installation und Programmierung, um dem Kunden Verbesserungsmöglichkeiten aufzuzeigen. Technische Check-Ups und Wartungen vor Ort beim Kunden sind ebenfalls Teil Ihrer Aufgabe. Das benötigte Equipment und Material bereiten Sie eigenverantwortlich vor.




Zur Unterstützung der ständigen Qualitätskontrolle unserer Kunden, führen Sie vor Ort Sicherheitsüberprüfungen unserer Systeme durch. Die hieraus entstehenden Protokolle werden von Ihnen sorgfältig geprüft und dem Kunden zur Dokumentation des sicheren Betriebs übergeben.




Sie planen die Einsätze zusammen mit unserem Dispatcher und sprechen den Termin und den Leistungsumfang mit dem Kunden eigenständig ab. Zum Abschluss des Einsatzes erstellen Sie einen detaillierten Servicebericht für den Kunden. Bei technischen Auffälligkeiten klären Sie mögliche Lösungen im Team oder mit anderen Fachabteilungen ab. Bei der Mitarbeit im Helpdesk und Rufbereitschaft geben Sie unseren Kunden telefonisch und per Remote-Zugriff Hilfe zur Selbsthilfe.




Sie besitzen ein sehr hohes Maß an Reisebereitschaft (ca. 80%) innerhalb Deutschland und gelegentlich ins Ausland. Eine gewisse Bereitschaft zur Wochenendarbeit und kurzzeitiger Schichtarbeit in Großprojekten bringen Sie mit.




Qualifikationen




Persönlichkeit: Hohe Kundenorientierung, eigeninitiativ und teamfähig
Arbeitsweise: strukturierte und zielstrebige Lösungsfindung, professioneller und freundlicher Umgang mit unseren Kunden.
Erfahrungen und Know-How: Mehrjährige Berufserfahrung in der Programmierung und Anwendung im Bereich Automations- bzw. Robotertechnik; idealerweise Erfahrung in der Nutzung und Einrichtung von Manufacturing Execution Systems (MES) und IT-Systemen; Basiswissen in der Intralogistik zur Optimierung von Materialversorgung wünschenswert
Qualifikation: Gute Kenntnisse der Steuerungstechnik - SPS Programmierung, sowie LAN, WLAN im Automatisierungsumfeld, idealerweise Kenntnisse von C++, NodeJS und Docker
Begeisterung: Für Service und Kunden
Sprachen: sehr gute Deutsch und Englischkenntnisse in Wort und Schrift
Ausbildung: Erfolgreich abgeschlossenes Studium der Elektrotechnik, technischer Informatik, Automatisierungstechnik oder Mechatronik oder vergleichbare Techniker-Ausbildung
Reisebereitschaft: Hohe Reisebereitschaft (ca. 80%), international




Zusätzliche Informationen




Sie haben Fragen zum Bewerbungsprozess?




Christin Ulrich (Personalabteilung)




+49 711 811-15628




Sie haben fachliche Fragen zum Job?




Michael Rust (Fachabteilung)




+49 711 811-53138",Berufserfahren,Vollzeit,Ingenieurwesen,Maschinenbau & Betriebstechnik
3,"Das Security Robotics-Portfolio umfasst eine breite Palette individuell konfigurierbarer Roboter. Die Roboter mit KI sind passend für eine Vielzahl von Einsatzbereichen, jeder hat eine

eigene Spezialität – von der Überwachung und Inspektion von Anlagen, Objekten, Maschinen und Geländen bis zum Serviceeinsatz bei der Zutrittskontrolle und als intelligente Lösung für den Empfangsbereich.

Und dank der Genauigkeit und der Produktivität der Roboter profitieren Kunden von Security Robotics.

Aufgaben

Implementierung von Software für den Serieneinsatz unter Verwendung von modernem C++ und Python
Intensive Nutzung der Kollaborationsplattform zur Kommunikation, Dokumentation und zum Wissenstransfer
Mitarbeit im Bereich der Personensicherheit für unsere autonomen Security Systemen der nächsten Generation
Entwicklung von Algorithmen für die Bildverarbeitung (2D/3D) im Bereich mobile Roboter und Automatisierung
Optimierung der Algorithmen auf Zielplattformen (z.B. NVIDIA Jetson)
Berufserfahrung im Bereich der Bildverarbeitung mit C/C++, Python unter Linux/Windows
Wünschenswert: Python, Cuda/OpenCL, OpenCV, Tensorflow
Kenntnisse in dem Bereich Robotik und Deep Learning


Qualifikation

Abgeschlossenes Studium im Bereich Informatik,


Ingenieurwissenschaften, Mathematik oder einer verwandten Fachrichtung

mit Schwerpunkt Informatik
Solide mathematische Grundlagen im Bereich Planungsalgorithmen sowie Leidenschaft für die Anwendung innovativer Ansätze
Idealerweise mehrjährige Berufserfahrung
Leidenschaft für die Programmierung sowie Kenntnisse in Python idealerweise auch C++
Fundierte Kenntnisse im Umgang mit Linux; ROS Kenntnisse von Vorteil
Erfahrung mit Versionsverwaltungssystemen (z. B. Git)
Englisch Kenntnisse
Kommunikationsstärke, Bereitschaft zur Übernahme von Verantwortung und Fokussierung auf Ergebnisse


Benefits

eine hochwertige Arbeitsausstattung wie Notebook, Handy etc.
eigenverantwortliches Arbeiten in einem jungen aufstrebenden Team
modernes Arbeiten mit flexiblen Arbeitszeiten und der Möglichkeit für konzentriertes Arbeiten im Homeoffice;
individuelle Weiterbildungsmöglichkeiten;
zusätzlich zu einem branchenüblichen Gehalt die Möglichkeit von weitergehenden, leistungsbezogenen Vergütungen;
eine tolle Arbeitsatmosphäre in modern eingerichteten Büros;
Kurze Entscheidungswege dank flacher Hierarchien.
Du


möchtest Freizeit, Familie und Beruf vereinbaren können? Das ist bei

uns durch unsere flexiblen Arbeitszeitmodelle und

Arbeitszeitgestaltungsmöglichkeiten kein Problem!
Kostenfreie Parkmöglichkeit (nach Verfügbarkeit).
Reisezeit = Arbeitszeit
Gute ÖPNV- und Autobahnanbindung


Für telefonische Informationen stehen wir Dir unter 030 – 209 67 44 - 78 selbstverständlich gerne zur Verfügung.",Berufseinstieg,Vollzeit,IT,IT-Services und IT-Consulting
4,"Als Experten für Digitale Transformation begeistern wir unsere Kunden

mit durchdachten Automatisierungslösungen. Dazu setzen wir vor allem state-of-the-art Technologien wie z. B. Robotic Process Automation, Künstliche Intelligenz oder Process Mining

ein.

Wir glauben, dass Unternehmen, die erfolgreich sein wollen, auch technologisch an der Spitze stehen sollten. Darum suchen wir Menschen, die uns dabei helfen, unsere Kunden technologisch weiterzuentwickeln, damit sie zukunftsfähig bleiben und einen positiven Beitrag für die ganze Welt leisten können.

Sie möchten gemeinsam mit uns die digitale Zukunft gestalten und aktiv an der Weiterentwicklung unserer Kunden beitragen? Dann werden Sie Teil unseres Teams!

Zur Verstärkung unserer Teams sind wir auf der Suche nach einem (Junior) Entwickler (m/w/d) im Bereich Robotic Process Automation (RPA) & Künstliche Intelligenz (KI). Als (Junior) Entwickler (m/w/d) bringen Sie Ihre Erfahrung in der (objektorientierten) Programmierung ein, vertiefen Ihre Kenntnisse im Bereich KI und Robotics (RPA) und setzen gemeinsam mit uns komplexe Automatisierungsprojekte um. Bei Weissenberg erwartet Sie ein positives Arbeitsumfeld und ein tolles Team technologiebegeisterter Teamplayer, welches täglich über sich hinauswächst.

Aufgaben

Mitwirken in Projekten im Bereich Künstliche Intelligenz und Robotic Process Automation
Entwicklung von Lösungsdesigns zur Automatisierung von Geschäftsprozessen
Programmierung der Prozessautomatisierungen mittels UiPath, Automation Anywhere oder Microsoft PowerAutomate
Test, Inbetriebnahme und Wartung der Automatisierungen
Begleitung der Implementierung und Durchführung von User Acceptance Tests mit den Fachbereichen auf Kundenseite


Qualifikation

Sie verfügen über ein abgeschlossenes Studium der Informatik, Wirtschaftsinformatik oder einen vergleichbaren Studienabschluss oder eine abgeschlossene Ausbildung als Fachinformatiker.

Sie haben bereits (erste) Erfahrung in der objektorientierten Programmierung
Sie besitzen ein gutes analytisches Denkvermögen und haben Freude an der Lösung komplexer Problemstellungen
Sie interessieren sich für die neuesten Tech-Trends und sind offen für Innovationen
Idealerweise hatten Sie bereits erste Berührungspunkte mit KI oder RPA
Sie sind ein kommunikationsstarker und lösungsorientierter Teamplayer


Benefits

Flexible Arbeitszeiten, Homeoffice & 30 Tage Urlaub
Arbeitsplatzsicherheit durch unbefristete Festanstellung
Individuelle Weiterbildungsmöglichkeiten
Lockere Arbeitsatmosphäre & regelmäßige Mitarbeiterevents
Moderne Räumlichkeiten auf grünem Campusgelände mit Kantine
Mitarbeiterrabatte & kostenlose Parkhausnutzung",Berufseinstieg,Vollzeit,IT,IT-Services und IT-Consulting
5,"What You’re Keen To Do




Test, measure and analyse robot components behaviour and emulate it in simulated environment.
Contribute to technical decisions about challenges faced in simulation.
Contribute to key technical decisions to help with the advancement of our validation pipeline in simulation.
Confidently ship small features and improvements with minimal guidance and support from other team members.
Collaborate with the team on a larger project.
Modify and test changes to previously developed programs.You take part in team meetings and actively promote the design of new simulation technologies.


What we’re looking for




We would love for you to have experience in simulation and/or game development (C#, C++, Python), following best coding practices.
You are a pro at improving and optimizing a previously implemented solution.
You should have the ability to identify, measure, debug, and remove bottlenecks and functional issues.
Working knowledge Docker, Github will set you apart.
Good communication skills in English (German is a plus).
As for your academical background: we’re looking for someone with a Master's degree in computer/mechanical/electrical engineering or computer science.
You should be comfortable working in a highly agile, intensely iterative software development process.
You can collect plus point with previous experience with Unity3D Game Engine or NVIDIA Omniverse.
Experience in control systems and mechanical simulation would be nice to have.


Hi there, happy to meet you!




At idealworks we give your passion the space to grow and develop within a up-and-coming brand in the BMW Group’s corporate portfolio.
With us, you will find an multicultural work environment and become part of an experienced, open minded team which puts value on mutual trust and you will feel comfortable with from the get go.
Experience the start-up feeling and flat hierarchies while working on varied and impactful tasks, and being responsible for their progress.
You can look forward to a flexible work schedule with 30 vacation days per year and various options for a suitable work-life-balance.
For your commitment to supporting us in our mission and creating WOW moments for our customers, you will not only be rewarded with appreciation, but also with above-average pay with bonus arrangements.
The package is rounded off with exciting corporate benefits and the offer of a company pension plan.
Located in the immediate vicinity of the OEZ, our office is easy to reach by public transport, bike and car and offers numerous catering options for a relaxed lunch break.
Driven by our unique corporate culture, the five values ""passion for results"", ""wellbeing"", ""personal growth"", ""trust"" and ""being and acting as one team"" determine our daily actions and cooperation.


idealworks was founded in 2020 as a wholly owned BMW Group subsidiary. As a deep-tech company, we offer an industry-leading solution portfolio for the autonomization of the modern factory with our robotics ecosystem consisting of our cloud platform AnyFleet and our autonomous mobile robot iw.hub.",Management,Vollzeit,Ingenieurwesen und IT,Produktionsautomatisierung
6,"THE ROLE

Are you familiar with the smell of fried electronics? Then you may be at the right spot at our startup: With our autonomous mobile robots, we do some black magic inside warehouses. Developing the most compact mobile robots for intra-logistics, we strive to change the way warehouses work in the future. Now it’s your turn to jump into our team and become part of our mission…a mission that reshapes the future of logistics…without fried electronics. Free your tinker within by:




Low-level software development (µC, µROS, Embedded C/C++, Motor Controller (moteus)
Design of PCB Boards with compact design for following applications:
Sensory (IMU, ToF, Temperatur, Vibration, etc.)
Communication (WiFi, Bluetooth, etc.)
Bus Systems (CAN)
Motor control
Power Supply
Battery Concept & BMS
Develop and implement wiring concept inside of our robot
Integrate and connect SoM/SoC with the peripherals of our robot (e.g. Apalis iMX8)
Troubleshoot the electronics of the robot
Grow your team on demand




WHAT YOU NEED TO SUCCEED

A DOER-Mentality and a smile when seeing your tech coming to life
You have a minimum of 3 years of embedded systems development as well as a penchant to embedded wireless systems
Bachelor / Master in CS / EE or equivalent
Strong background in embedded software development using C/C++ (µROS)
Profound understanding of control engineering (control technology), CAN bus systems, sensors (cameras, temperature, time of flight, IMU, etc.) as well as motor controller, microcontroller and encoder
Know-How about industry standards for wireless communications such as Bluetooth and WLAN
Experience with Designing and Layouting PCB, Choosing Components, Testing / Integration, Designing Circuits




WHY FILICS?

Aside from the people, our culture, and our mission, several other reasons make Filics a great place to work. Work with us and get:




No politics - Your energy is not wasted since you can fully convert your ideas into action.
A diverse, fair, and multicultural environment.
Find the best way for you to work: We offer a mix of remote and office work as well as flexible hours.
A beautiful office in Munich (Giesing) with kitchen, roof terrace and swimming pool.




ABOUT US

Filics - a place where autonomous mobile robots and intralogistics converge, we ignite a fusion of groundbreaking innovation and unmatched efficiency, ushering in a new era in intralogistics. Our robots, small in size yet big in tech, have the power to transform the way goods are transported. We seek relentless challengers, creative trailblazers, and driven problem-solvers who share our passion for breaking through barriers and setting new industry standards.




At Filics, it's not about simply showing up for work; it's about embracing autonomy, personal growth, and purpose. Our culture thrives on nurturing passions, celebrating achievements, and recognizing exceptional performance. Be a part of the Filics revolution and leave a lasting footprint in the world of intralogistics.",Vollzeit,,,
7,"Company Description




With a 1200-strong workforce, ITK Engineering GmbH is an internationally renowned technology company that sets itself apart with its exceptional expertise in digitalization, electrification, automation and connectivity of systems. Since 2017, the company has been a one hundred percent subsidiary of Robert Bosch GmbH. Come join a globally expanding technology partner and help shape your future through innovative strength, high quality standards and a passion for new technologies.




ITK Engineering GmbH is looking forward to your application!




Job Description




You analyze and understand relevant systems in the areas of power train, vehicle dynamics, chassis and energy management.
Abstraction of system behavior and generation of models in adequate simulation environments are also part of your tasks.
You perform simulations, analyze and evaluate the simulation results and then derive development recommendations.
You develop greater (co-) simulation environments for the analysis of complex interdependencies, e.g. for the optimization of the operating strategy.
You do quality assurance and optimize the simulation models through suitable validations and measurement data analysis.




Qualifications




Personality: high level of purposefulness, personal responsibility, self-motivation, commitment as well as willingness to cooperate and communication skills
Way of working: readiness for pragmatism and adaption to constantly changing demands under high-pressure time constraints, fun at work in an international and intercultural team, willingness to scrutinize one´s own performance, no inhibition regarding competition and prompt performance assessments
Experience and Know-How: several years of job experience in the development of simulation environments, several years of experience in motorsport, solid knowledge in Simulink, Adams, Amesim or comparable simulation environments, knowledge in the areas of vehicle dynamics, chassis, tires, powertrain or electromobility, ideally in the field of motorsport
Education: successfully completed studies in mechatronics, mechanical engineering, control engineering, electrical engineering, cybernetics or a comparable degree
Languages: high-level english abilities, basic german abilities desirable with a willingness to learn up to level B2/C1




Additional Information




Find out more about our benefits on our career page.




Are you interested in part time? Please inform us.




Do you have questions about the application process?




Hatice Kürtül




+49 (0)7272-7703-3333",Berufserfahren,Vollzeit,IT,Softwareentwicklung
8,"Wir bieten Ihnen die Möglichkeit, Abschlussarbeiten zu ausgewählten und konkreten Aufgabenstellungen aus unserer Geschäftstätigkeit praxisorientiert bei DORST TECHNOLOGIES umzusetzen

Aufgaben

Interessiert sind wir an Themen und Aufgabenstellungen aus nachfolgenden Bereichen:

Maschinen- und Werkzeugbau
Hydraulik und elektrische Antriebstechnik
Steuerungs- und Regelungstechnik
Steuerungsvisualisierung
Robotik und Automationstechnik
Kunststoffverarbeitung
Pulvermetallurgische Verfahrenstechnik
Keramische Verfahrenstechnik
Verfahrenstechnik Sprühtrocknung
Verfahrenstechnik Extrusion
Prozessdigitalisierung
Digitale Serviceleistungen


Qualifikation

Ihr Studium geht auf die Zielgerade und Sie möchten Ihre Abschlussarbeit in einem Unternehmen schreiben?

Wir freuen uns auf individuelle Themenvorschläge.",Ausbildung/Praktikum,Praktikum,Ingenieurwesen,Maschinenherstellung
9,"With innovative robots and automation systems, our client is revolutionizing the logistics industry. For the past 3 years, the BMW subsidiary has made it their mission to automate their customers' logistics and make them more efficient. They build intelligent transport robots with the latest hardware and software and want to have a lasting impact and modernize the global market. You too can support modern logistics with your skills as a Senior Robotic Engineer (m/f/d).

Tasks

Testing, measuring, and analysing robot components behaviour and emulating it in a simulated environment
Contributing to technical decisions about challenges faced in robotics components like vision algorithms, planning algorithms and hardware interfaces.
Advancing our agile development methodology and CI/CD pipelines.
Deploying features and improvements to production
Actively exchanging ideas and expertise with colleagues


Requirements

Bachelor degree in computer engineering, minor in computer science - with a focus on robotics are a plus
Experience with OOP with C++ being the main programming language used
You have experience in robotics development frameworks (ROS, ISAAC), following best coding practices
Experience in Control Systems, data structures, and algorithms are strongly recommended
Working knowledge in Docker and Github
Good communication skills in English and German


Benefits

Regular team events & get togethers
Very good connections to public transportation
Further training opportunities relevant to the industry
Diverse career and promotion opportunities
Modern office near the Olympic Park
Company pension plan
A qualification-dependent fixed monthly salary starting at €5.500 gross


You want to actively contribute to an ambitious and motivated team and thus support the development of an exciting, future-oriented company? Would you like to work in a job where your commitment is valued? Then contact us.",Berufseinstieg,Vollzeit,IT,Personalberatung und -vermittlung
