,Date,Company,Title,Location,Link
0,2023-04-21,Robert Half,(Junior) IT Administrator (w/m/d),München,https://de.linkedin.com/jobs/view/junior-it-administrator-w-m-d-at-robert-half-3579609429?refId=scp%2FSYh4dFyQ0uXH0V2urA%3D%3D&trackingId=ASlZMqKbpb2G%2FeYEXynLtA%3D%3D&position=8&pageNum=3&trk=public_jobs_jserp-result_search-card
1,2023-05-14,Ingenieurbüro Nordhorn GmbH & Co. KG,IT-Systemadministrator (m/w/d),Münster,https://de.linkedin.com/jobs/view/it-systemadministrator-m-w-d-at-ingenieurb%C3%BCro-nordhorn-gmbh-co-kg-3607322247?refId=xkGdo7nbEusrMIcZ7B2LPg%3D%3D&trackingId=r6Vt%2FCzu98GsuWsAK54ycA%3D%3D&position=19&pageNum=15&trk=public_jobs_jserp-result_search-card
2,2023-04-26,top itservices AG,System Engineer Cloud (m/w/d) - 492-9880,München,https://de.linkedin.com/jobs/view/system-engineer-cloud-m-w-d-492-9880-at-top-itservices-ag-3587930804?refId=xkGdo7nbEusrMIcZ7B2LPg%3D%3D&trackingId=akPsKLuK%2B4IkAFoIynFscw%3D%3D&position=13&pageNum=15&trk=public_jobs_jserp-result_search-card
3,2023-05-03,NetPlans Cloud Solutions,Junior System Engineer IT-Security - Firewall / WAF / Cloud Computing (m/w/d),Heilbronn,https://de.linkedin.com/jobs/view/junior-system-engineer-it-security-firewall-waf-cloud-computing-m-w-d-at-netplans-cloud-solutions-3598150692?refId=uJSHD1PcW7omeYjTJ8zS9Q%3D%3D&trackingId=BNp8eEMue1O1fg4%2Blr36%2Fw%3D%3D&position=6&pageNum=2&trk=public_jobs_jserp-result_search-card
4,2023-03-31,Cloudwürdig - Part of PCG,Cloud Solution Engineer (m/w/d),Berlin,https://de.linkedin.com/jobs/view/cloud-solution-engineer-m-w-d-at-cloudw%C3%BCrdig-part-of-pcg-3586242031?refId=eSkimT9U%2BD93ICT26ZfQ3w%3D%3D&trackingId=2ZKGUZh4HGXsaoSY5c0Cww%3D%3D&position=4&pageNum=13&trk=public_jobs_jserp-result_search-card
5,2023-04-03,apploft. GmbH,Junior Back End Developer (m/w/d),Hamburg,https://de.linkedin.com/jobs/view/junior-back-end-developer-m-w-d-at-apploft-gmbh-3584981518?refId=E%2FWsKXQU16MIx12v9F2WBQ%3D%3D&trackingId=v5oMa%2FPGwcYWCSHa3CvRYQ%3D%3D&position=12&pageNum=34&trk=public_jobs_jserp-result_search-card
6,2023-05-03,Jefferson Frank,AWS Infrastructure Engineer (w/m/d) _in Paderborn,Paderborn,https://de.linkedin.com/jobs/view/aws-infrastructure-engineer-w-m-d-in-paderborn-at-jefferson-frank-3594074559?refId=uumUc8gl2Lh%2B%2B6Wy4D5Y%2FA%3D%3D&trackingId=L1BSX%2BqAz6OOGWu2fJgYJQ%3D%3D&position=2&pageNum=37&trk=public_jobs_jserp-result_search-card
7,2023-05-19,wu personal GmbH,IT Service Engineer (m/w/d),Taufkirchen,https://de.linkedin.com/jobs/view/it-service-engineer-m-w-d-at-wu-personal-gmbh-3609824153?refId=uJSHD1PcW7omeYjTJ8zS9Q%3D%3D&trackingId=RW8qAOfFLXFKPr5RngLibQ%3D%3D&position=19&pageNum=2&trk=public_jobs_jserp-result_search-card
8,2023-05-13,Volkswagen Infotainment GmbH,DevOps Engineer (m/w/d),Bochum,https://de.linkedin.com/jobs/view/devops-engineer-m-w-d-at-volkswagen-infotainment-gmbh-3604664847?refId=scp%2FSYh4dFyQ0uXH0V2urA%3D%3D&trackingId=txWoRJfCKSmqSS3sf%2Ffl4Q%3D%3D&position=18&pageNum=3&trk=public_jobs_jserp-result_search-card
9,2023-05-21,Cloudical,Cloud Architekt (m/w/d) 100% Remote,Berlin,https://de.linkedin.com/jobs/view/cloud-architekt-m-w-d-100%25-remote-at-cloudical-3611464281?refId=OdQWKkNWSwr8qBCUVqDiMw%3D%3D&trackingId=QiJqPDzidKncTaMz%2BYDG6Q%3D%3D&position=15&pageNum=12&trk=public_jobs_jserp-result_search-card
