,ID,description,company size
0,https://de.linkedin.com/company/ionos?trk=public_jobs_topcard_logo,"IONOS ist der führende europäische Digitalisierungs-Partner für kleine und mittlere Unternehmen (KMU). IONOS hat mehr als sechs Millionen Kundinnen und Kunden und ist mit einer weltweit verfügbaren Plattform in 18 Märkten in Europa und Nordamerika aktiv. Mit seinen Web Presence & Productivity-Angeboten agiert das Unternehmen als “One-Stop-Shop"" für alle Digitalisierungs-Bedürfnisse - von Domains und Webhosting über klassische Website-Builder und Do-It-Yourself-Lösungen, von E-Commerce bis zu Online-Marketing-Tools. Darüber hinaus bietet IONOS Cloud-Lösungen für Firmen, die im Zuge der Weiterentwicklung ihres Geschäfts in die Cloud wechseln möchten. ",1.001–5.000 Beschäftigte
1,https://de.linkedin.com/company/styleranking-media-gmbh?trk=public_jobs_topcard_logo,"styleranking teilt hier News aus dem Unternehmen, zur Online- und Influencer-Branche und Beauty-, Lifestyle- sowie Modetrends.",11–50 Beschäftigte
2,https://de.linkedin.com/company/sumax?trk=public_jobs_topcard_logo,"SUMAX – Online Marketing Agentur: Von Suchmaschinenoptimierung (SEO Optimierung) über Suchmaschinenmarketing bis hin zu Online Reputation Management und Social Media: Können wir alles - und machen wir auch! Wir sind einer der marktführenden Anbieter für SEO Optimierungen und konnten schon bei mehreren tausend Web-Projekten zeigen, dass wir für den Erfolg unserer Kunden Berge versetzen. Wir brennen für Online Marketing und sind offizieller Google Premium Partner. Als SEO Agentur sorgen wir mit Engagement, Erfahrung und Expertise dafür, dass die Online-Präsenz Ihrer Webseite langfristig gesteigert wird.",51–200 Beschäftigte
3,https://de.linkedin.com/company/productsup?trk=public_jobs_topcard_logo,"Productsup revolutioniert das Verwalten und Optimieren von Produktdaten: Das Berliner SaaS-Unternehmen bietet eine Cloud-Plattform, die es ermöglicht, komplexe Datenfeeds schnell und einfach zu strukturieren, zu analysieren und entsprechend den Anforderungen verschiedenster Shopping- und Marketing-Kanäle zu optimieren.

Die Lösung dient als Basis für erfolgreiches Performance Marketing – auf intelligente Weise können Produkte für Marketingkanäle wie Google Shopping und Facebook Dynamic Ads, Marktplätze wie Amazon und eBay, Preisportale wie Idealo und billiger.de sowie Affiliate-Netzwerke und Retargeting-Anwendungen wie affilinet und Criteo optimiert werden. Je höher die Produktdatenqualität, desto mehr verbessert sich die Sichtbarkeit der Produkte und damit auch der qualitative Traffic.

Productsup wird gleichermaßen von Agenturen, Online-Händlern und Daten-Aggregatoren aus dem E-Commerce Bereich genutzt.",201–500 Beschäftigte
4,https://de.linkedin.com/company/ruf-lebensmittelwerk-kg?trk=public_jobs_topcard_logo,"Saftiger Apfelkuchen, bunte Zitronen Muffins oder wackelige Götterspeise - seit nahezu 100 Jahren versüßt RUF Lebensmittelwerk den Alltag von Menschen auf allen Kontinenten. Mit einfach zu kreierenden Backmischungen, Dekorartikeln für den individuellen Look, praktischen Helfern für das leckere Dessert oder Backzutaten auf höchstem Qualitätsniveau unterstützen wir Menschen weltweit  beim perfekten Backerlebnis. Aber auch Unternehmen mit hohen Abnahmemengen und Sonderfertigungen profitieren von unserer langjährigen Expertise und unseren Kernkompetenzen.

Seit Anbeginn gilt bei uns der Grundsatz: Beste Qualität zu günstigem Preis. Die Basis dafür bilden unsere über 450 MitarbeiterInnen. Sie schaffen immer wieder neue, fantastische Kreationen und bewältigen auch größte Stückzahlen mit sicherer Hand. Modernste Produktions- und Analysetechniken stellen dabei die gleichbleibend hohe Produktqualität und den optimalen Geschmack sicher.

Werden Sie Teil unseres Teams, gestalten Sie gemeinsam mit uns die Zukunft von RUF!

Impressum: http://www.ruf.eu/de/unternehmen/impressum",201–500 Beschäftigte
5,https://de.linkedin.com/company/klickkonzept-by-labelium?trk=public_jobs_topcard_logo,"💻 Online Marketing ist in den letzten Jahren zu einer vielschichtigen Disziplin geworden. Erfolgreich online werben ist nicht mehr eine Frage von Einzelmaßnahmen, sondern verlangt nach einem Konzept. Dem Klickkonzept.

📈 Ob SEO, SEA, Social Media, Content oder Digital Analytics: Durch unser methodisches Vorgehen erstellen wir mit Ihnen Ihr individuelles Klickkonzept und erbringen die Leistungen, die Ihnen online weiter helfen. ",51–200 Beschäftigte
6,https://de.linkedin.com/company/tracetronicgmbh?trk=public_jobs_topcard_logo,"Für Eilige: TraceTronic entwickelt Lösungen, mit denen Fahrzeug-Software automatisiert getestet und integriert werden kann.

Genauer: Wir begegnen komplexer werdenden Funktionen und exponentiell steigenden Datenmengen im Fahrzeug mit Automatisierung und einem Framework, das es einfach macht, auch heterogene Prüflandschaften inklusive Drittanbieter-Tools einheitlich einzubinden. Erstens.

Zweitens arbeiten wir schon immer gemäß den Prinzipien der agilen Software-Entwicklung, die uns eine schnelle Anpassung an sich ändernde Projektbedingungen erlauben und den Kundennutzen stets in den Vordergrund stellen.

Mehr über unsere Produkte (Automotive DevOps Platform, ECU-TEST, TRACE-CHECK, TEST-GUIDE und SCENARIO-ARCHITECT ), unsere Lösungen und unsere Philosophie erfahren Sie auf unserer Website.",201–500 Beschäftigte
7,https://de.linkedin.com/company/siemens?trk=public_jobs_topcard_logo,"Die Siemens AG (Berlin und München) ist ein führender internationaler Technologiekonzern, der seit mehr als 170 Jahren für technische Leistungsfähigkeit, Innovation, Qualität, Zuverlässigkeit und Internationalität steht. Das Unternehmen ist weltweit aktiv, und zwar schwerpunktmäßig auf den Gebieten intelligente Infrastruktur bei Gebäuden und dezentralen Energiesystemen sowie Automatisierung und Digitalisierung in der Prozess- und Fertigungsindustrie. Siemens verbindet die physische und digitale Welt — mit dem Anspruch, daraus einen Nutzen für Kunden und Gesellschaft zu erzielen. Durch Mobility, einem der führenden Anbieter intelligenter Mobilitätslösungen für den Schienen- und Straßenverkehr, gestaltet Siemens außerdem den Weltmarkt für den Personen- und Güterverkehr mit. Über die Mehrheitsbeteiligung an dem börsennotierten Unternehmen Siemens Healthineers gehört Siemens zudem zu den weltweit führenden Anbietern von Medizintechnik und digitalen Gesundheitsservices. Darüber hinaus hält Siemens eine Minderheitsbeteiligung an der seit dem 28. September 2020 börsengelisteten Siemens Energy, einem der weltweit führenden Unternehmen in der Energieübertragung und -erzeugung. 
Im Geschäftsjahr 2020, das am 30. September 2020 endete, erzielte der Siemens-Konzern einen Umsatz von 57,1 Milliarden Euro und einen Gewinn nach Steuern von 4,2 Milliarden Euro. Zum 30.09.2020 hatte das Unternehmen weltweit rund 293.000 Beschäftigte. Weitere Informationen finden Sie im Internet unter www.siemens.com.",10.001+ Beschäftigte
8,https://de.linkedin.com/company/kramergmbh?trk=public_jobs_topcard_logo,"Die drei Sparten der KRAMER GmbH Ladenbau, Kühlraumbau und Dämmtechnik stehen für 90 Jahre Erfahrung und branchenübergreifende Innovationsleistung. Unser Unternehmen mit europaweit über 300 Mitarbeitern und seinem Stammsitz in Umkirch bei Freiburg zählt zu den führenden Anbietern in der Branche. Unser Leistungsspektrum umfasst in allen Geschäftsbereichen die komplette Wertschöpfungskette von der Planung über die Produktion und Montage bis zur schlüsselfertigen Projektfertigstellung.",201–500 Beschäftigte
9,https://de.linkedin.com/company/gehe-pharma-handel-gmbh?trk=public_jobs_topcard_logo,"Über Alliance Healthcare Deutschland und GEHE - Wir bewegen Gesundheit: Sicher, zuverlässig und schnell. Die Alliance Healthcare Deutschland GmbH mit Sitz in Frankfurt am Main ist mit den beiden Großhandelsmarken Alliance Healthcare® Deutschland (AHD) und GEHE® sowie den starken Apothekenkooperationen Alphega und gesund leben einer der wichtigsten Gesundheitsdienstleister für Apotheken und pharmazeutische Hersteller in Deutschland. Mit einem modernen Netzwerk und zukunftsfähigen Services garantiert der vollversorgende Pharmagroßhändler gemeinsam mit seinen Partnern die bundesweite Versorgung mit Arzneimitteln und Gesundheitsdienstleistungen. Im Fokus steht dabei eine nachhaltige, vertrauensvolle und ganzheitliche Gesundheitsversorgung in Deutschland, damit alle Menschen gesünder und erfüllter leben können.
#doppeltsogrosshandel
www.alliance-healthcare.de 
www.gehe.de


Pflichtangaben nach TMG:
Alliance Healthcare Deutschland GmbH
Solmsstraße 73
60486 Frankfurt

Telefon: 069/79203-0
Telefax: 069/79203-369
E-Mail: service@alliance-healthcare.de
Internet: https://www.alliance-healthcare.de

Aufsichtsratsvorsitzender:
Wolfgang Mähr

Geschäftsführer:
Aline Seifert (Vorsitzende), 
Marco Kerschen

Sitz der Gesellschaft:
Frankfurt HRB 119985
Amtsgericht: Frankfurt am Main
Umsatzsteueridentifikationsnummer DE 114 118 413

Zuständige Aufsichtsbehörde:
Regierungspräsidium Darmstadt
Luisenplatz 2, 64283 Darmstadt

Impressum: https://www.alliance-healthcare.de/impressum
Datenschutzhinweise: https://www.alliance-healthcare.de/datenschutz

Mitglied von Walgreens Boots Alliance",1.001–5.000 Beschäftigte
